text_idx,speaker,party,p_hate_orig,pred_label,p_hate,text_preview,token,shap_value
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Auch ,-0.003364
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",wenn ,-0.003328
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",es ,-0.003549
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",eine ,-0.002939
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Frage ,-0.003248
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",der ,-0.003284
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Haushaltspolitik ,-0.003563
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d","ist, ",-0.003416
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",will ,-0.00377
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d","ich 
",-0.003969
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",es ,-0.004032
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",hier ,-0.003808
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",noch ,-0.004796
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",einmal ,-0.003973
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",erwähnen: ,-0.002123
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Hessen ,-0.000801
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",müsste ,0.00187
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",das ,0.002783
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d","Geld, 
",0.002362
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",das ,0.002354
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",durch ,0.002507
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",die ,0.002681
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Inflationseffekte ,0.001842
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",kräftig ,0.001828
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",in ,0.002136
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",die ,0.002308
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d","öffentlichen 
",0.001994
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Kassen ,0.001998
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d","sprudelt, ",0.001203
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",seinen ,0.001576
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Bürgern ,0.001994
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",eigentlich ,0.001899
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d","zurückgeben 
",0.003782
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",und ,0.004622
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",dürfte ,0.00423
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",es ,0.004476
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",nicht ,0.004037
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",für ,0.00384
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",zusätzliche ,0.002377
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",Migration ,0.002481
1,,,0.8788,HATE,0.8788,"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das d",verpulvern,0.013016
2,,,0.8782,HATE,0.8782,"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den As",@,-0.000512
2,,,0.8782,HATE,0.8782,"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den As",Odenwaelderin ,-7e-06
2,,,0.8782,HATE,0.8782,"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den As",Dass ,0.00039
2,,,0.8782,HATE,0.8782,"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den As",ist ,0.001691
2,,,0.8782,HATE,0.8782,"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den As",nicht ,0.00066
2,,,0.8782,HATE,0.8782,"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den As","freiwillig,",0.001262
