doc_id,keyword,adjective,lemma,context,context_sentiment,context_score,CDU,SPD,GRUENE,FDP,LINKE,AfD,date,year,year_month
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0029,migrationskritiker,sozialen,sozial,"auf der Straße und nicht mehr Verwaltungsfachkräfte, wie Sie ankündigen. Einen besonderen Schwerpunkt wollen Sie auf die Bekämpfung der Hate Speeches legen. Diese digitalen Verunglimpfungen in den sozialen Medien müssen in der Tat bekämpft werden. Aber ich hoffe, dass die Regierung nicht einseitig vorgeht und nur über das Ziel hinausschießende Migrationskritiker ins Visier nimmt, sondern genauso Hetze und Diffamierungen von Linken und linksextremen Facebook-Stammtischen gegen politisch Andersdenkende wie uns. (Beifall AfD) Herr Ministerpräsident, mir ist schleierhaft, wie Sie dringend benötigten bezahlbaren Wohnraum in der Metropolregion Frankfurt/Rhein-Main schaffen wollen. Sie kündigen einen identitätsstiftenden Innovationsprozess an, durch die Ausrichtung einer Specialised Expo unter",negative,0.9590303897857666,False,False,False,False,True,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0029,migrationskritiker,politisch,politisch,"auf der Straße und nicht mehr Verwaltungsfachkräfte, wie Sie ankündigen. Einen besonderen Schwerpunkt wollen Sie auf die Bekämpfung der Hate Speeches legen. Diese digitalen Verunglimpfungen in den sozialen Medien müssen in der Tat bekämpft werden. Aber ich hoffe, dass die Regierung nicht einseitig vorgeht und nur über das Ziel hinausschießende Migrationskritiker ins Visier nimmt, sondern genauso Hetze und Diffamierungen von Linken und linksextremen Facebook-Stammtischen gegen politisch Andersdenkende wie uns. (Beifall AfD) Herr Ministerpräsident, mir ist schleierhaft, wie Sie dringend benötigten bezahlbaren Wohnraum in der Metropolregion Frankfurt/Rhein-Main schaffen wollen. Sie kündigen einen identitätsstiftenden Innovationsprozess an, durch die Ausrichtung einer Specialised Expo unter",negative,0.9590303897857666,False,False,False,False,True,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0030,migranten,deutschen,deutsch,"Handeln. Jetzt wollen die Bürger Antworten  ehrliche Antworten. Nennen Sie uns z. B. endlich die wahren Kosten, die dem deutschen Steuerzahler durch die Migrationspolitik der Altparteien aufgebürdet werden; denn auch das gehört zu Ihrer Informationspflicht. (Beifall AfD) Es geht um die weitgehend unkontrollierte und fortwährende Einwanderung von Millionen von Migranten nach Deutschland (Michael Boddenberg (CDU): Das ist ja gar nicht wahr!) und damit in den deutschen Sozialstaat. (Beifall AfD) Der Freiburger Wirtschaftswissenschaftler Bernd Raffelhüschen bezifferte bereits Ende 2015 die langfristigen Zusatzkosten dafür auf rund 900 Milliarden . Das sind fast 1 Billion   rund ein Drittel der deutschen Wirtschaftsleistung.",negative,0.7607586979866028,True,False,False,False,False,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0030,migranten,unkontrollierte,unkontrolliert,"Handeln. Jetzt wollen die Bürger Antworten  ehrliche Antworten. Nennen Sie uns z. B. endlich die wahren Kosten, die dem deutschen Steuerzahler durch die Migrationspolitik der Altparteien aufgebürdet werden; denn auch das gehört zu Ihrer Informationspflicht. (Beifall AfD) Es geht um die weitgehend unkontrollierte und fortwährende Einwanderung von Millionen von Migranten nach Deutschland (Michael Boddenberg (CDU): Das ist ja gar nicht wahr!) und damit in den deutschen Sozialstaat. (Beifall AfD) Der Freiburger Wirtschaftswissenschaftler Bernd Raffelhüschen bezifferte bereits Ende 2015 die langfristigen Zusatzkosten dafür auf rund 900 Milliarden . Das sind fast 1 Billion   rund ein Drittel der deutschen Wirtschaftsleistung.",negative,0.7607586979866028,True,False,False,False,False,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0030,migranten,deutschen,deutsch,"Handeln. Jetzt wollen die Bürger Antworten  ehrliche Antworten. Nennen Sie uns z. B. endlich die wahren Kosten, die dem deutschen Steuerzahler durch die Migrationspolitik der Altparteien aufgebürdet werden; denn auch das gehört zu Ihrer Informationspflicht. (Beifall AfD) Es geht um die weitgehend unkontrollierte und fortwährende Einwanderung von Millionen von Migranten nach Deutschland (Michael Boddenberg (CDU): Das ist ja gar nicht wahr!) und damit in den deutschen Sozialstaat. (Beifall AfD) Der Freiburger Wirtschaftswissenschaftler Bernd Raffelhüschen bezifferte bereits Ende 2015 die langfristigen Zusatzkosten dafür auf rund 900 Milliarden . Das sind fast 1 Billion   rund ein Drittel der deutschen Wirtschaftsleistung.",negative,0.7607586979866028,True,False,False,False,False,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0030,migranten,deutschen,deutsch,"Handeln. Jetzt wollen die Bürger Antworten  ehrliche Antworten. Nennen Sie uns z. B. endlich die wahren Kosten, die dem deutschen Steuerzahler durch die Migrationspolitik der Altparteien aufgebürdet werden; denn auch das gehört zu Ihrer Informationspflicht. (Beifall AfD) Es geht um die weitgehend unkontrollierte und fortwährende Einwanderung von Millionen von Migranten nach Deutschland (Michael Boddenberg (CDU): Das ist ja gar nicht wahr!) und damit in den deutschen Sozialstaat. (Beifall AfD) Der Freiburger Wirtschaftswissenschaftler Bernd Raffelhüschen bezifferte bereits Ende 2015 die langfristigen Zusatzkosten dafür auf rund 900 Milliarden . Das sind fast 1 Billion   rund ein Drittel der deutschen Wirtschaftsleistung.",negative,0.7607586979866028,True,False,False,False,False,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,migranten,deutsche,deutsch,"Deutsche aufgegeben, Herr Ministerpräsident? (Beifall AfD  Lachen Janine Wissler (DIE LINKE)) Sie erwähnen eher am Rande das Strafrecht und die Abschiebungen. Ich verstehe, dass Sie dazu nicht ausführlicher berichten; denn im letzten Jahr haben Sie und Ihr Innenminister Beuth von derzeit rund 10.000 ausreisepflichtigen Ausländern in Hessen nur 1.754 Migranten abgeschoben. Sie wollen im Grunde genommen auch nicht mehr abschieben. Lieber erteilen Sie trotz Asylablehnung eine Duldung nach der anderen. (Beifall AfD) Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene Erweiterung des Kreises der sicheren Herkunftsstaaten mit Ihrem Koalitionspartner, den GRÜNEN, einigen können. Das bedeutet, dass Sie",negative,0.8674707412719727,False,False,True,False,True,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,migranten,ausreisepflichtigen,ausreisepflichtig,"Deutsche aufgegeben, Herr Ministerpräsident? (Beifall AfD  Lachen Janine Wissler (DIE LINKE)) Sie erwähnen eher am Rande das Strafrecht und die Abschiebungen. Ich verstehe, dass Sie dazu nicht ausführlicher berichten; denn im letzten Jahr haben Sie und Ihr Innenminister Beuth von derzeit rund 10.000 ausreisepflichtigen Ausländern in Hessen nur 1.754 Migranten abgeschoben. Sie wollen im Grunde genommen auch nicht mehr abschieben. Lieber erteilen Sie trotz Asylablehnung eine Duldung nach der anderen. (Beifall AfD) Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene Erweiterung des Kreises der sicheren Herkunftsstaaten mit Ihrem Koalitionspartner, den GRÜNEN, einigen können. Das bedeutet, dass Sie",negative,0.8674707412719727,False,False,True,False,True,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,migranten,sicheren,sicher,"Deutsche aufgegeben, Herr Ministerpräsident? (Beifall AfD  Lachen Janine Wissler (DIE LINKE)) Sie erwähnen eher am Rande das Strafrecht und die Abschiebungen. Ich verstehe, dass Sie dazu nicht ausführlicher berichten; denn im letzten Jahr haben Sie und Ihr Innenminister Beuth von derzeit rund 10.000 ausreisepflichtigen Ausländern in Hessen nur 1.754 Migranten abgeschoben. Sie wollen im Grunde genommen auch nicht mehr abschieben. Lieber erteilen Sie trotz Asylablehnung eine Duldung nach der anderen. (Beifall AfD) Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene Erweiterung des Kreises der sicheren Herkunftsstaaten mit Ihrem Koalitionspartner, den GRÜNEN, einigen können. Das bedeutet, dass Sie",negative,0.8674707412719727,False,False,True,False,True,True,2019-02-06,2019,2019-02
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,asylablehnung,ausreisepflichtigen,ausreisepflichtig,"am Rande das Strafrecht und die Abschiebungen. Ich verstehe, dass Sie dazu nicht ausführlicher berichten; denn im letzten Jahr haben Sie und Ihr Innenminister Beuth von derzeit rund 10.000 ausreisepflichtigen Ausländern in Hessen nur 1.754 Migranten abgeschoben. Sie wollen im Grunde genommen auch nicht mehr abschieben. Lieber erteilen Sie trotz Asylablehnung eine Duldung nach der anderen. (Beifall AfD) Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene Erweiterung des Kreises der sicheren Herkunftsstaaten mit Ihrem Koalitionspartner, den GRÜNEN, einigen können. Das bedeutet, dass Sie im Bundesrat praktisch ein Veto gegen eine Ausweitung der sicheren Herkunftsstaaten einlegen und der Bevölkerung,",negative,0.9485198259353638,False,False,True,False,False,True,2019-02-06,2019,2019-02
